,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
5281,Honda,2019,Bình Thuận,Cũ,57000.0,Lắp ráp trong nước,Sedan,Số tự động,Xanh,Đen,5,4,FWD,Xăng,1.5,420.0
7495,Hyundai,2022,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,2.0,605.0
3223,Ford,2017,Hà Nội,Cũ,70000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.2,750.0
14697,Mercedes Benz,2022,Hà Nội,Cũ,18000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,2060.0
9478,Kia,2010,Bắc Ninh,Cũ,200000.0,Lắp ráp trong nước,Crossover,Số tự động,Cát,Vàng,7,5,FWD,Xăng,2.0,225.0
7284,Hyundai,2009,Hà Nội,Cũ,89000.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.6,288.0
8641,Kia,2016,Hà Nội,Cũ,68000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Nâu,Kem,7,5,FWD,Xăng,3.3,595.0
8600,Kia,2021,Phú Thọ,Cũ,29000.0,Lắp ráp trong nước,Sedan,Số tay,Nâu,Nhiều màu,5,4,FWD,Xăng,1.4,345.0
22124,Toyota,2022,Hà Nội,Cũ,56000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,1.8,665.0
14578,Mercedes Benz,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,5,5,AWD,Xăng,2.0,2799.0
22588,Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,650.0
8863,Kia,2022,Hà Nội,Cũ,21000.0,Lắp ráp trong nước,Sedan,Số tự động,Xanh,Đen,5,4,FWD,Xăng,1.6,620.0
5619,Hyundai,2021,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Dầu,2.2,975.0
14386,Mercedes Benz,2022,Hà Nội,Cũ,15000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nhiều màu,5,4,RFD,Xăng,2.0,1979.0
25510,VinFast,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Đen,5,5,AWD,Điện,0.2,1270.0
4210,Honda,2021,Hà Nội,Cũ,40000.0,Nhập khẩu,Hatchback,Số tự động,Vàng,Đen,5,5,FWD,Xăng,1.2,399.0
1879,Ford,2015,Hà Nội,Cũ,90000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Bạc,Đen,5,4,RFD,Dầu,2.2,399.0
22848,Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,FWD,Xăng,2.0,1105.0
4085,Ford,2018,TP HCM,Cũ,96000.0,Lắp ráp trong nước,Van/Minivan,Số tay,Trắng,Đen,6,4,RFD,Dầu,2.4,555.0
16286,Mercedes Benz,2022,TP HCM,Cũ,27890.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,5,5,AWD,Xăng,2.0,1878.0
16858,Mercedes Benz,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nâu,5,4,RFD,Xăng,2.0,2134.0
4371,Honda,2023,Thái Nguyên,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,1.5,875.0
24781,Toyota,2019,Kiên Giang,Cũ,130000.0,Lắp ráp trong nước,Crossover,Số tay,Trắng,Đen,8,5,RFD,Xăng,2.0,475.0
13130,Mazda,2024,Thanh Hóa,Mới,0.0,Lắp ráp trong nước,Hatchback,Số tự động,Xanh,Đen,5,5,FWD,Xăng,1.5,679.0
14853,Mercedes Benz,2022,Đồng Nai,Cũ,7500.0,Nhập khẩu,SUV,Số tự động,Xanh,Đỏ,5,5,AWD,Xăng,3.0,4550.0
8158,Hyundai,2020,Thái Nguyên,Cũ,38000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Đen,5,4,FWD,Xăng,1.4,379.0
13077,Mazda,2019,Hải Phòng,Cũ,62000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,595.0
