Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Hyundai,2018,Hà Nội,Cũ,65000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,7,5,FWD,Dầu,2.2,750.0
LandRover,2014,Hà Nội,Cũ,75000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,768.0
Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Xăng,2.7,1145.0
Mazda,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đỏ,5,5,FWD,Xăng,1.5,679.0
Honda,2019,Hà Nội,Cũ,45000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,FWD,Xăng,1.5,777.0
BMW,2015,Hà Nội,Cũ,30000.0,Nhập khẩu,Coupe,Số tự động,Trắng,Kem,4,2,AWD,Hybrid,1.5,3000.0
Mitsubishi,2023,Hà Nội,Cũ,7000.0,Nhập khẩu,SUV,Số tự động,Trắng,Ghi,7,5,FWD,Xăng,1.5,645.0
Toyota,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nhiều màu,7,5,4WD,Dầu,2.8,1350.0
Hyundai,2020,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Dầu,2.2,935.0
Hyundai,2021,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.25,365.0
Mazda,2021,Hà Nội,Cũ,50000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,2.0,648.0
Toyota,2024,Bắc Ninh,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,1.5,470.0
Toyota,2010,Bắc Giang,Cũ,134567.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.4,315.0
Mitsubishi,2020,Hà Nội,Cũ,52000.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Đen,7,5,FWD,Xăng,2.0,660.0
