,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
9305,Mercedes,Benz E class E250,2013.0,585000000.0,Hải Dương,Xe đã dùng,90000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
3075,Ford,Everest Titanium 2.0L 4x4 AT,2019.0,965000000.0,TP HCM,Xe đã dùng,78000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,7.0,5.0,4WD - Dẫn động 4 bánh,Dầu,2.0
10994,Hyundai,Accent 1.4 AT,2020.0,412000000.0,Hà Nội,Xe đã dùng,41512.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nhiều màu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.4
11566,Hyundai,Tucson 1.6 AT Turbo Đặc biệt,2021.0,798000000.0,Hà Nội,Xe đã dùng,50000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.6
14423,Honda,Civic G 1.8 AT,2021.0,590000000.0,TP HCM,Xe đã dùng,35000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
29026,Kia,Sorento Premium 2.2 AT AWD,2024.0,1149000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Dầu,2.2
15693,Toyota,Veloz Cross Top 1.5 CVT,2022.0,620000000.0,Bắc Ninh,Xe đã dùng,64000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
8745,Mercedes,Benz C class C250 AMG,2015.0,670000000.0,Hà Nội,Xe đã dùng,120000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
4903,Mitsubishi,Zinger GLS 2.4 MT,2008.0,180000000.0,Hà Nội,Xe đã dùng,180.0,Lắp ráp trong nước,SUV,Số tay,Bạc,Ghi,8.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.4
9955,BMW,5 Series 520i,2015.0,920000000.0,Hà Nội,Xe đã dùng,70000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
24652,Mazda,3 1.5 AT,2018.0,450000000.0,Hà Nội,Xe đã dùng,860000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
7571,Mercedes,Benz E class E200,2017.0,1079000000.0,Hà Nội,Xe đã dùng,20000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
23353,Mazda,CX5 Luxury 2.0 AT,2022.0,780000000.0,Hà Nội,Xe đã dùng,29000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
2478,Ford,Ranger XLS 2.0L 4x2 AT,2024.0,707000000.0,Bà Rịa Vũng Tàu,Xe mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,-,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.0
8335,Mercedes,Benz G class G63 AMG,2024.0,11750000000.0,Quảng Ninh,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Xanh,Đỏ,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,4.0
23660,Mazda,3 1.5L Deluxe,2021.0,548000000.0,Hà Nội,Xe đã dùng,35000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Nâu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
10387,Hyundai,Accent 1.4 AT,2022.0,455000000.0,Hà Nội,Xe đã dùng,33000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.4
30647,Suzuki,Swift GLX 1.2 AT,2019.0,435000000.0,Hà Nội,Xe đã dùng,45000.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,-,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.2
12558,Hyundai,Tucson 1.6 AT Turbo HTRAC Đặc biệt,2023.0,979000000.0,Hà Nội,Xe đã dùng,9000.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,1.6
21832,Porsche,Panamera 3.6 V6,2015.0,1899000000.0,TP HCM,Xe đã dùng,52000.0,Nhập khẩu,Sedan,Số tự động,Nâu,Kem,4.0,4.0,RFD - Dẫn động cầu sau,Xăng,3.6
20101,Toyota,Fortuner 2.4G 4x2 AT,2020.0,945000000.0,Hà Nội,Xe đã dùng,60000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.4
2204,Ford,Everest Titanium Plus 2.0L 4x4 AT,2024.0,1380000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,4WD - Dẫn động 4 bánh,Dầu,2.0
221,Nissan,Navara EL 2.3 AT 2WD,2024.0,635000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.3
15724,Toyota,Fortuner 2.7V 4x4 AT,2010.0,340000000.0,TP HCM,Xe đã dùng,95000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Cam,7.0,5.0,4WD - Dẫn động 4 bánh,Xăng,2.7
28947,Kia,Sonet Luxury 1.5 AT,2024.0,554000000.0,Bắc Ninh,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,-,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
9786,BMW,5 Series 530i M Sport,2022.0,2499000000.0,Hà Nội,Xe đã dùng,9000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
